,Sensor,acc_cross,acc_sem,pod,param,acc_com_cross_optuna,acc_sem_cross_optuna,pod_optuna
0,S1,0.9941,0.9805,1.0000,"{'max_features': 11, 'max_depth': 29}",0.9922,0.9805,1.0000
1,S10,0.9980,1.0000,1.0000,"{'max_features': 7, 'max_depth': 25}",0.9980,1.0000,1.0000
2,S11,0.9941,0.9935,1.0000,"{'max_features': 14, 'max_depth': 42}",0.9922,0.9935,1.0000
3,S12,0.9922,1.0000,1.0000,"{'max_features': 1, 'max_depth': 44}",0.9902,1.0000,1.0000
4,S13,0.9648,0.9610,1.0000,"{'max_features': 1, 'max_depth': 25}",0.9687,0.9610,0.9961
5,S14,0.9922,1.0000,1.0000,"{'max_features': 8, 'max_depth': 39}",0.9902,1.0000,1.0000
6,S15,0.9804,0.9870,0.9961,"{'max_features': 7, 'max_depth': 50}",0.9824,0.9870,0.9922
7,S16,1.0000,1.0000,1.0000,"{'max_features': 3, 'max_depth': 17}",1.0000,1.0000,1.0000
8,S17,0.9980,1.0000,1.0000,"{'max_features': 9, 'max_depth': 5}",0.9980,1.0000,0.9883
9,S18,1.0000,1.0000,1.0000,"{'max_features': 15, 'max_depth': 27}",1.0000,0.9935,0.9922
10,S19,0.9610,0.9351,0.9531,"{'max_features': 2, 'max_depth': 49}",0.9629,0.9286,0.9492
11,S2,0.8381,0.8701,0.9375,"{'max_features': 16, 'max_depth': 30}",0.8439,0.8377,0.9258
12,S20,1.0000,1.0000,1.0000,"{'max_features': 2, 'max_depth': 13}",1.0000,1.0000,1.0000
13,S21,1.0000,1.0000,0.9961,"{'max_features': 8, 'max_depth': 17}",1.0000,1.0000,0.9961
14,S22,1.0000,1.0000,1.0000,"{'max_features': 4, 'max_depth': 14}",0.9980,1.0000,1.0000
15,S23,0.9981,1.0000,1.0000,"{'max_features': 4, 'max_depth': 16}",0.9981,1.0000,1.0000
16,S24,0.9961,0.9870,1.0000,"{'max_features': 1, 'max_depth': 43}",0.9961,0.9935,1.0000
17,S25,0.9883,0.9935,0.9883,"{'max_features': 2, 'max_depth': 8}",0.9883,0.9935,1.0000
18,S26,0.9961,1.0000,1.0000,"{'max_features': 7, 'max_depth': 47}",0.9980,1.0000,1.0000
19,S27,0.9961,1.0000,0.9961,"{'max_features': 1, 'max_depth': 13}",1.0000,1.0000,0.9961
20,S28,1.0000,1.0000,1.0000,"{'max_features': 4, 'max_depth': 23}",1.0000,1.0000,1.0000
21,S29,0.9571,0.9481,0.9844,"{'max_features': 4, 'max_depth': 28}",0.9551,0.9416,0.9766
22,S3,1.0000,1.0000,1.0000,"{'max_features': 3, 'max_depth': 6}",1.0000,1.0000,1.0000
23,S30,0.9922,0.9870,0.9961,"{'max_features': 5, 'max_depth': 22}",0.9941,0.9805,0.9961
24,S4,0.9961,0.9870,0.9961,"{'max_features': 2, 'max_depth': 29}",0.9961,1.0000,1.0000
25,S5,1.0000,1.0000,1.0000,"{'max_features': 1, 'max_depth': 3}",0.9961,1.0000,1.0000
26,S6,0.9902,0.9935,1.0000,"{'max_features': 1, 'max_depth': 49}",0.9922,0.9870,0.9922
27,S7,0.9882,0.9935,1.0000,"{'max_features': 6, 'max_depth': 45}",0.9863,0.9805,1.0000
28,S8,0.9941,1.0000,0.9961,"{'max_features': 1, 'max_depth': 22}",0.9922,0.9935,0.9961
29,S9,0.9961,1.0000,0.9961,"{'max_features': 1, 'max_depth': 20}",1.0000,0.9935,0.9883
